titulo,abstract,apa,images,url
DE LA ACADEMIA A LA CALLE Texto y contexto de su discurso estético,"Postula la relación de los elementos básicos de la composición y el diseño en el desarrollo del Arte Callejero","Barahona Araneda, C. (2012).De la Academia a la calle.", http://dope.cl/dope2013/wp-content/uploads/2013/11/INTI_Santiago-Chile_2013_HQ.jpg,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
COLOR Y CIUDAD Insistir en el muro,"Como el diseño en el espacio público es capaz de intervenir la percepción del espacio.","CRISTI, N. (2015). Color y ciudad insistir en el muro . REVISTA DISEÑA, 8",http://bigfenomeno.com/wp-content/uploads/2012/10/post_chilestyle_kickstarter.jpg,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
RETRATOS TERRITORIALES Intervención del espacio público como contenedor de circuitos expositivos de personajes populares,"Realización de un mural a partir del imaginario del Barrio y con la participación de los vecinos.","Correa Nanco, A. (2014).Retratos territoriales: intervención del espacio público como contenedor de circuitos expositivos de personajes populares.",https://upload.wikimedia.org/wikipedia/commons/6/6b/Chile_-_Puerto_Montt_28_-_street_art_%286837459982%29.jpg,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
"PINTO, LUEGO EXISTO Importancia del graffiti en Santiago como rescate del patrimonio cultural","Investigación de la historia del Graffiti en Chile y su valor patrimonial.",https://static.guim.co.uk/sys-images/Guardian/Pix/pictures/2014/2/7/1391770436500/Graffiti-street-art-is-ab-001.jpg,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
INTI,"Libro recopilatorio de los trabajos que a realizado Inti a lo largo de los 20 años de su carrera.","Castro, I. (2013) Inti",http://dope.cl/dope2013/wp-content/uploads/2013/11/01INTI_LosMurosHablan_PuertoRico_2013.jpg,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
ARTE CALLEJERO en Chile,"Rod Palmer repasa el panorama del arte urbano chileno a través de una recopilación de fotografías.","Palmer, R. (2008) Arte Callejero en Chile",http://www.revistaintemperie.cl/wp-content/uploads/2012/03/arte.png,"Arte Callejero, Street Art, Graffiti, Espacio Urbano"
